Abr,Course,Section,Title,Quarter,Year,Day and Time,Instructor,E1,S1,P1,E2,S2,P2,E1(N),S1(N),P1(N),E2(N),S2(N),P2(New),E3,S3,P3,E4,S4,P4
tum2018 30000,30000,2,Financial Accounting,Autumn,2018,"Friday, 1:30 -  4:30","Granja, Joao",0,65,0,2,63,0,48,17,0,55,10,0,47,18,0,44,21,-1
tum2018 30000,30000,85,Financial Accounting,Autumn,2018,"Saturday, 9:00 - 12:00","Granja, Joao",4,61,0,5,60,0,53,12,0,53,12,0,47,18,0,47,18,-1
tum2019 30000,30000,3,Financial Accounting,Autumn,2019,"Wednesday, 1:30 -  4:30","Granja, Joao",13,52,0,14,51,0,65,CLO,1501,65,CLO,4333,65,CLO,4494,,,
tum2019 30000,30000,4,Financial Accounting,Autumn,2019,"Wednesday, 8:30 - 11:30","Granja, Joao",10,55,0,10,55,0,65,CLO,1200,65,CLO,2111,65,CLO,3114,,,
tum2019 30000,30000,82,Financial Accounting,Autumn,2019,"Wednesday, 6:00 -  9:00","Granja, Joao",15,50,0,14,51,0,49,16,0,48,17,0,65,CLO,1004,,,
tum2020 30000,30000,3,Financial Accounting,Autumn,2020,"Tuesday, 1:30 -  4:30","Granja, Joao",1,64,0,1,64,N/A,65,CLO,1654,65,CLO,2347,65,CLO,N/A,,,
tum2020 30000,30000,4,Financial Accounting,Autumn,2020,"Wednesday, 1:30 -  4:30","Granja, Joao",4,61,0,4,61,N/A,65,CLO,1081,65,CLO,101,65,CLO,N/A,,,
tum2020 30000,30000,7,Financial Accounting,Autumn,2020,"Tuesday, 6:00 -  9:00","Granja, Joao",0,65,N/A,0,65,N/A,51,14,0,56,9,50,60,5,0,,,
tum2020 30000,30000,82,Financial Accounting,Autumn,2020,"Wednesday, 6:00 -  9:00","Granja, Joao",13,52,0,11,54,0,65,CLO,1,64,1,1111,65,CLO,907,,,
mme2020 30000,30000,81,Financial Accounting,Summer,2020,"Thursday, 6:00 -  9:00","Hanna, J.",23,42,0,22,43,0,52,13,0,53,12,0,58,7,0,,,
mme2020 30000,30000,85,Financial Accounting,Summer,2020,"Saturday, 9:00 - 12:00","Hanna, J.",9,56,0,9,56,N/A,16,49,0,13,52,N/A,16,49,0,,,
tum2016 30000,30000,86,Financial Accounting,Autumn,2016,"Saturday, 9:00 - 12:00","Heltzer, Wendy",7,58,0,7,58,-1,22,43,0,24,41,0,24,41,0,22,43,0
tum2019 30000,30000,85,Financial Accounting,Autumn,2019,"Saturday, 9:00 - 12:00","Heltzer, Wendy",3,62,0,1,64,N/A,48,17,0,38,27,N/A,35,30,0,,,
tum2016 30000,30000,1,Financial Accounting,Autumn,2016,"Friday, 8:30 - 11:30","Kleymenova, Anya",1,64,0,1,64,-1,28,37,0,14,51,0,10,55,0,11,54,0
tum2016 30000,30000,2,Financial Accounting,Autumn,2016,"Friday, 1:30 -  4:30","Kleymenova, Anya",0,65,0,0,65,-1,4,61,0,9,56,0,11,54,0,11,54,0
tum2016 30000,30000,85,Financial Accounting,Autumn,2016,"Saturday, 1:30 -  4:30","Kleymenova, Anya",7,58,0,8,57,0,57,8,0,49,16,0,51,14,0,49,16,0
tum2017 30000,30000,1,Financial Accounting,Autumn,2017,"Wednesday, 8:30 - 11:30","Kleymenova, Anya",4,61,0,5,60,0,65,CLO,363,65,CLO,2010,65,CLO,3237,65,CLO,829
tum2017 30000,30000,2,Financial Accounting,Autumn,2017,"Wednesday, 1:30 -  4:30","Kleymenova, Anya",7,58,0,9,56,0,65,CLO,123,65,CLO,1511,65,CLO,1511,65,CLO,0
tum2017 30000,30000,81,Financial Accounting,Autumn,2017,"Wednesday, 6:00 -  9:00","Kleymenova, Anya",9,56,0,8,57,-1,38,27,0,33,32,-1,46,19,0,63,2,0
rin2019 30000,30000,81,Financial Accounting,Spring,2019,"Friday, 6:00 -  9:00","Kleymenova, Anya",16,49,0,14,51,N/A,26,39,0,24,41,N/A,26,39,0,55,10,N/A
rin2019 30000,30000,85,Financial Accounting,Spring,2019,"Saturday, 9:00 - 12:00","Kleymenova, Anya",2,38,0,1,39,N/A,12,28,0,13,27,0,18,22,0,26,14,N/A
rin2019 30000,30000,86,Financial Accounting,Spring,2019,"Saturday, 1:30 -  4:30","Kleymenova, Anya",13,27,0,14,26,0,28,12,0,26,14,N/A,30,10,0,36,4,0
rin2020 30000,30000,81,Financial Accounting,Spring,2020,"Friday, 6:00 -  9:00","Kleymenova, Anya",17,48,0,17,48,0,33,32,0,35,30,0,43,22,0,63,2,0
rin2020 30000,30000,85,Financial Accounting,Spring,2020,"Saturday, 1:30 -  4:30","Kleymenova, Anya",24,41,0,25,40,0,51,14,0,51,14,0,52,13,0,63,2,0
tum2016 30000,30000,3,Financial Accounting,Autumn,2016,"Wednesday, 1:30 -  4:30","Maffett, Mark",11,54,0,14,51,0,65,CLO,510,65,CLO,3000,65,CLO,1013,65,CLO,2882
tum2016 30000,30000,4,Financial Accounting,Autumn,2016,"Tuesday, 1:30 -  4:30","Maffett, Mark",9,56,0,8,57,-1,65,CLO,1500,65,CLO,3599,65,CLO,1000,65,CLO,1102
tum2016 30000,30000,82,Financial Accounting,Autumn,2016,"Tuesday, 6:00 -  9:00","Maffett, Mark",13,52,0,10,55,-1,65,CLO,7,65,CLO,1626,65,CLO,1922,65,CLO,811
rin2020 30000,30000,82,Financial Accounting,Spring,2020,"Thursday, 6:00 -  9:00","Muhn, Maximilian",9,56,0,8,57,N/A,20,45,0,18,47,N/A,35,30,0,62,3,0
rin2017 30000,30000,82,Financial Accounting,Spring,2017,"Friday, 6:00 -  9:00","Nikolaev, Valeri",13,52,0,14,51,0,18,47,0,17,48,-1,16,49,0,15,50,-1
rin2017 30000,30000,85,Financial Accounting,Spring,2017,"Saturday, 9:00 - 12:00","Nikolaev, Valeri",9,56,0,8,57,-1,30,35,0,22,43,0,27,38,0,25,40,-1
tum2017 30000,30000,7,Financial Accounting,Autumn,2017,"Tuesday, 1:30 -  4:30","Nikolaev, Valeri",7,58,0,4,61,-1,65,CLO,1010,65,CLO,3064,65,CLO,-1,65,CLO,2367
tum2017 30000,30000,82,Financial Accounting,Autumn,2017,"Monday, 6:00 -  9:00","Nikolaev, Valeri",9,56,0,10,55,0,42,23,0,38,27,-1,40,25,0,62,3,0
tum2018 30000,30000,5,Financial Accounting,Autumn,2018,"Wednesday, 8:30 - 11:30","Nikolaev, Valeri",5,60,0,2,63,-1,53,12,0,65,CLO,1500,65,CLO,-1,64,1,-1
tum2018 30000,30000,6,Financial Accounting,Autumn,2018,"Tuesday, 1:30 -  4:30","Nikolaev, Valeri",4,61,0,5,60,0,47,18,0,65,CLO,551,60,5,0,65,CLO,11
tum2018 30000,30000,83,Financial Accounting,Autumn,2018,"Tuesday, 6:00 -  9:00","Nikolaev, Valeri",3,62,0,3,62,-1,28,37,0,28,37,0,31,34,0,27,38,-1
tum2019 30000,30000,5,Financial Accounting,Autumn,2019,"Friday, 8:30 - 11:30","Nikolaev, Valeri",1,64,0,0,65,N/A,7,58,0,46,19,0,21,44,0,,,
tum2019 30000,30000,6,Financial Accounting,Autumn,2019,"Friday, 1:30 -  4:30","Nikolaev, Valeri",2,63,0,2,63,N/A,48,17,0,65,CLO,0,52,13,0,,,
tum2020 30000,30000,1,Financial Accounting,Autumn,2020,"Monday, 8:30 - 11:30","Nikolaev, Valeri",0,70,N/A,2,68,0,70,CLO,0,66,4,707,68,2,50,,,
tum2020 30000,30000,2,Financial Accounting,Autumn,2020,"Monday, 1:30 -  4:30","Nikolaev, Valeri",3,67,0,3,67,N/A,70,CLO,0,66,4,572,70,CLO,1000,,,
tum2020 30000,30000,81,Financial Accounting,Autumn,2020,"Monday, 6:00 -  9:00","Nikolaev, Valeri",12,53,0,11,54,N/A,26,39,0,23,42,N/A,38,27,0,,,
rin2019 30000,30000,83,Financial Accounting,Spring,2019,"Wednesday, 6:00 -  9:00","Rauter, Thomas",23,42,0,20,45,0,45,20,0,44,21,N/A,65,CLO,6,65,CLO,27
nte2020 30000,30000,1,Financial Accounting,Winter,2020,"Tuesday, 8:30 - 11:30","Riggs-Cragun, Amoray",65,CLO,153,65,CLO,880,65,CLO,N/A,65,CLO,N/A,64,1,0,,,
nte2020 30000,30000,81,Financial Accounting,Winter,2020,"Tuesday, 6:00 -  9:00","Riggs-Cragun, Amoray",9,56,0,10,55,0,27,38,0,32,33,0,38,27,0,,,
mme2017 30000,30000,81,Financial Accounting,Summer,2017,"Thursday, 6:00 -  9:00","Tomy, Rimmy",29,36,0,27,38,0,45,20,0,45,20,-1,44,21,0,42,23,-1
mme2017 30000,30000,85,Financial Accounting,Summer,2017,"Saturday, 1:30 -  4:30","Tomy, Rimmy",36,29,0,33,32,0,33,32,-1,33,32,-1,38,27,0,35,30,-1
rin2018 30000,30000,82,Financial Accounting,Spring,2018,"Tuesday, 6:00 -  9:00","Tomy, Rimmy",32,33,0,36,29,0,65,CLO,7,65,CLO,-1,65,CLO,11106,65,CLO,-1
rin2018 30000,30000,83,Financial Accounting,Spring,2018,"Monday, 6:00 -  9:00","Tomy, Rimmy",8,57,0,8,57,0,28,37,0,30,35,0,53,12,0,65,CLO,0
nte2017 30000,30000,85,Financial Accounting,Winter,2017,"Saturday, 1:30 -  4:30","Zakolyukina, Anastasia",17,48,0,14,51,0,14,51,-1,14,51,-1,21,44,0,25,40,0
rin2018 30000,30000,81,Financial Accounting,Spring,2018,"Friday, 6:00 -  9:00","Zakolyukina, Anastasia",11,54,0,7,58,0,11,54,0,10,55,-1,7,58,0,24,41,-1
rin2018 30000,30000,85,Financial Accounting,Spring,2018,"Saturday, 1:30 -  4:30","Zakolyukina, Anastasia",15,50,0,16,49,0,49,16,0,47,18,0,59,6,0,64,1,-1
tum2018 30000,30000,86,Financial Accounting,Autumn,2018,"Saturday, 1:30 -  4:30","Zakolyukina, Anastasia",5,35,0,5,35,-1,28,12,0,27,13,0,27,13,0,26,14,-1
tum2019 30000,30000,1,Financial Accounting,Autumn,2019,"Tuesday, 1:30 -  4:30","Zakolyukina, Anastasia",9,56,0,9,56,0,65,CLO,396,65,CLO,7944,65,CLO,1423,,,
tum2019 30000,30000,2,Financial Accounting,Autumn,2019,"Wednesday, 8:30 - 11:30","Zakolyukina, Anastasia",7,58,0,5,60,N/A,65,CLO,0,65,CLO,3543,65,CLO,0,,,
tum2019 30000,30000,81,Financial Accounting,Autumn,2019,"Tuesday, 6:00 -  9:00","Zakolyukina, Anastasia",5,60,0,5,60,0,12,53,0,13,52,0,39,26,0,,,
tum2020 30000,30000,5,Financial Accounting,Autumn,2020,"Friday, 8:30 - 11:30","Zakolyukina, Anastasia",1,64,0,1,64,N/A,28,37,0,35,30,5,35,30,0,,,
tum2020 30000,30000,6,Financial Accounting,Autumn,2020,"Friday, 1:30 -  4:30","Zakolyukina, Anastasia",2,63,0,2,63,N/A,26,39,0,23,42,26,25,40,0,,,
tum2020 30000,30000,85,Financial Accounting,Autumn,2020,"Saturday, 9:00 - 12:00","Zakolyukina, Anastasia",14,56,0,13,57,0,70,CLO,11,70,CLO,3000,67,3,0,,,
,30000,1,Financial Accounting,Winter,2021,"Wednesday, 8:30 - 11:30","Rauter, Thomas",70,CLO,179,70,CLO,1600,70,CLO,N/A,70,CLO,N/A,70,CLO,3011,,,
nte2017 30001,30001,1,Cost Analysis and Internal Controls,Winter,2017,"Monday, 8:30 - 11:30","Gallemore, John",56,9,0,55,10,0,55,10,-1,55,10,-1,47,18,0,44,21,0
nte2017 30001,30001,81,Cost Analysis and Internal Controls,Winter,2017,"Monday, 6:00 -  9:00","Gallemore, John",65,CLO,50,61,4,0,62,3,0,61,4,-1,65,CLO,34,60,5,0
nte2017 30001,30001,2,Cost Analysis and Internal Controls,Winter,2017,"Monday, 1:30 -  4:30","Gallemore, John",65,CLO,100,65,CLO,700,65,CLO,-1,65,CLO,-1,60,5,0,61,4,0
nte2018 30001,30001,1,Cost Analysis and Internal Controls,Winter,2018,"Tuesday, 1:30 -  4:30","Gallemore, John",70,CLO,321,70,CLO,10001,70,CLO,-1,70,CLO,-1,70,CLO,4582,70,CLO,9021
nte2018 30001,30001,81,Cost Analysis and Internal Controls,Winter,2018,"Tuesday, 6:00 -  9:00","Gallemore, John",70,CLO,556,70,CLO,2505,70,CLO,-1,70,CLO,-1,70,CLO,10642,70,CLO,10000
nte2018 30001,30001,2,Cost Analysis and Internal Controls,Winter,2018,"Wednesday, 1:30 -  4:30","Gallemore, John",70,CLO,1000,70,CLO,10005,70,CLO,-1,70,CLO,-1,70,CLO,12000,70,CLO,-1
nte2019 30001,30001,81,Cost Analysis and Internal Controls,Winter,2019,"Monday, 6:00 -  9:00","Gallemore, John",64,6,0,62,8,0,64,6,-1,64,6,-1,70,CLO,6347,70,CLO,3000
nte2019 30001,30001,85,Cost Analysis and Internal Controls,Winter,2019,"Saturday, 1:30 -  4:30","Gallemore, John",65,5,0,61,9,0,61,9,-1,61,9,-1,70,CLO,100,70,CLO,6113
nte2019 30001,30001,1,Cost Analysis and Internal Controls,Winter,2019,"Monday, 1:30 -  4:30","Gallemore, John",70,CLO,3131,70,CLO,15023,70,CLO,-1,70,CLO,-1,70,CLO,8082,70,CLO,-1
nte2020 30001,30001,1,Cost Analysis and Internal Controls,Winter,2020,"Monday, 1:30 -  4:30","Gallemore, John",70,CLO,1600,70,CLO,12069,70,CLO,N/A,70,CLO,N/A,70,CLO,9595,,,
nte2020 30001,30001,81,Cost Analysis and Internal Controls,Winter,2020,"Monday, 6:00 -  9:00","Gallemore, John",69,1,0,70,CLO,1904,70,CLO,N/A,70,CLO,N/A,70,CLO,9762,,,
mme2017 30001,30001,81,Cost Analysis and Internal Controls,Summer,2017,"Thursday, 6:00 -  9:00","Hanna, J.",52,13,0,42,23,0,43,22,0,43,22,-1,43,22,0,39,26,0
mme2017 30001,30001,85,Cost Analysis and Internal Controls,Summer,2017,"Saturday, 9:00 - 12:00","Hanna, J.",20,45,0,20,45,0,20,45,-1,20,45,-1,28,37,0,29,36,0
nte2020 30001,30001,2,Cost Analysis and Internal Controls,Winter,2020,"Tuesday, 1:30 -  4:30","Gallemore, John",70,CLO,4878,70,CLO,6367,70,CLO,N/A,70,CLO,N/A,70,CLO,10063,,,
rin2017 30001,30001,81,Cost Analysis and Internal Controls,Spring,2017,"Wednesday, 6:00 -  9:00","Labro, Eva",24,41,0,33,32,0,37,28,0,36,29,-1,65,CLO,509,65,CLO,9000
rin2017 30001,30001,1,Cost Analysis and Internal Controls,Spring,2017,"Thursday, 8:30 - 11:30","Labro, Eva",65,CLO,388,65,CLO,3975,65,CLO,-1,65,CLO,-1,65,CLO,1616,65,CLO,4
,30001,1,Cost Analysis and Internal Controls,Winter,2021,"Monday, 1:30 -  4:30","Gallemore, John",70,CLO,5391,70,CLO,13403,70,CLO,N/A,70,CLO,N/A,70,CLO,N/A,,,
rin2018 30116,30116,81,Accounting and Financial Analysis I,Spring,2018,"Tuesday, 6:00 -  9:00","Christensen, Hans",24,41,0,16,49,0,18,47,0,19,46,0,16,49,0,18,47,0
rin2018 30116,30116,1,Accounting and Financial Analysis I,Spring,2018,"Tuesday, 1:30 -  4:30","Christensen, Hans",24,41,0,30,35,0,30,35,-1,30,35,-1,31,34,0,25,40,-1
rin2018 30116,30116,2,Accounting and Financial Analysis I,Spring,2018,"Wednesday, 1:30 -  4:30","Christensen, Hans",11,54,0,16,49,0,16,49,-1,16,49,-1,13,52,0,12,53,-1
rin2019 30116,30116,81,Accounting and Financial Analysis I,Spring,2019,"Tuesday, 6:00 -  9:00","Christensen, Hans",5,27,0,4,28,N/A,6,26,0,5,27,N/A,6,26,0,7,25,0
rin2019 30116,30116,1,Accounting and Financial Analysis I,Spring,2019,"Tuesday, 1:30 -  4:30","Christensen, Hans",12,10,0,18,4,0,18,4,N/A,18,4,N/A,16,6,N/A,20,2,N/A
rin2019 30116,30116,2,Accounting and Financial Analysis I,Spring,2019,"Wednesday, 1:30 -  4:30","Christensen, Hans",4,61,0,7,58,0,7,58,N/A,7,58,N/A,9,56,0,10,55,0
tum2019 30116,30116,81,Accounting and Financial Analysis I,Autumn,2019,"Monday, 6:00 -  9:00","Christensen, Hans",7,25,0,8,24,0,9,23,0,9,23,N/A,7,25,0,,,
tum2019 30116,30116,1,Accounting and Financial Analysis I,Autumn,2019,"Monday, 1:30 -  4:30","Christensen, Hans",3,62,0,4,61,0,9,56,0,10,55,0,11,54,0,,,
tum2019 30116,30116,2,Accounting and Financial Analysis I,Autumn,2019,"Tuesday, 1:30 -  4:30","Christensen, Hans",3,62,0,3,62,N/A,12,53,0,15,50,0,19,46,0,,,
tum2020 30116,30116,81,Accounting and Financial Analysis ,Autumn,2020,"Monday, 6:00 -  9:00","Christensen, Hans",23,42,0,24,41,0,30,35,0,30,35,N/A,29,36,0,,,
tum2020 30116,30116,1,Accounting and Financial Analysis ,Autumn,2020,"Monday, 1:30 -  4:30","Christensen, Hans",7,58,0,5,60,N/A,36,29,0,34,31,N/A,38,27,0,,,
tum2016 30116,30116,81,Accounting and Financial Analysis I,Autumn,2016,"Thursday, 6:00 -  9:00","Soffer, Leonard",18,47,0,19,46,0,22,43,0,22,43,-1,24,41,0,25,40,0
tum2016 30116,30116,85,Accounting and Financial Analysis I,Autumn,2016,"Saturday, 1:30 -  4:30","Soffer, Leonard",26,39,0,24,41,0,30,35,0,28,37,-1,26,39,0,25,40,0
tum2020 30116,30116,2,Accounting and Financial Analysis ,Autumn,2020,"Tuesday, 1:30 -  4:30","Christensen, Hans",4,61,0,6,59,0,37,28,0,40,25,1,33,32,0,,,
nte2017 30116,30116,81,Accounting and Financial Analysis I,Winter,2017,"Wednesday, 6:00 -  9:00","Soffer, Leonard",14,51,0,12,53,-1,14,51,0,15,50,0,25,40,0,28,37,0
tum2016 30116,30116,1,Accounting and Financial Analysis I,Autumn,2016,"Friday, 1:30 -  4:30","Soffer, Leonard",3,62,0,3,62,-1,50,15,0,48,17,0,47,18,0,45,20,0
tum2017 30116,30116,81,Accounting and Financial Analysis I,Autumn,2017,"Tuesday, 6:00 -  9:00","Soffer, Leonard",15,50,0,13,52,0,21,44,0,17,48,-1,35,30,0,35,30,0
nte2017 30116,30116,1,Accounting and Financial Analysis I,Winter,2017,"Thursday, 1:30 -  4:30","Soffer, Leonard",65,CLO,10,65,CLO,1937,65,CLO,-1,65,CLO,-1,63,2,0,63,2,0
tum2017 30116,30116,1,Accounting and Financial Analysis I,Autumn,2017,"Wednesday, 1:30 -  4:30","Soffer, Leonard",12,53,0,10,55,0,65,CLO,438,65,CLO,2957,65,CLO,1985,65,CLO,139
nte2018 30116,30116,85,Accounting and Financial Analysis I,Winter,2018,"Saturday, 1:30 -  4:30","Soffer, Leonard",21,44,0,20,45,0,20,45,-1,20,45,-1,24,41,0,24,41,-1
nte2018 30116,30116,1,Accounting and Financial Analysis I,Winter,2018,"Wednesday, 1:30 -  4:30","Soffer, Leonard",65,CLO,1,63,2,0,63,2,-1,63,2,-1,64,1,0,60,5,0
tum2018 30116,30116,81,Accounting and Financial Analysis I,Autumn,2018,"Wednesday, 6:00 -  9:00","Soffer, Leonard",14,51,0,12,53,0,19,46,0,17,48,-1,28,37,0,25,40,-1
tum2018 30116,30116,85,Accounting and Financial Analysis I,Autumn,2018,"Saturday, 1:30 -  4:30","Soffer, Leonard",11,54,0,12,53,0,13,52,0,13,52,-1,10,55,-1,11,54,0
nte2018 30116,30116,2,Accounting and Financial Analysis I,Winter,2018,"Thursday, 1:30 -  4:30","Soffer, Leonard",19,46,0,26,39,0,26,39,-1,26,39,-1,22,43,0,20,45,0
nte2019 30116,30116,81,Accounting and Financial Analysis I,Winter,2019,"Monday, 6:00 -  9:00","Soffer, Leonard",13,52,0,12,53,0,17,48,0,17,48,-1,15,50,0,21,44,0
tum2018 30116,30116,1,Accounting and Financial Analysis I,Autumn,2018,"Thursday, 1:30 -  4:30","Soffer, Leonard",22,43,0,19,46,-1,65,CLO,700,65,CLO,3543,65,CLO,3118,65,CLO,1179
nte2020 30116,30116,81,Accounting and Financial Analysis ,Winter,2020,"Thursday, 6:00 -  9:00","Soffer, Leonard",9,56,0,8,57,0,13,52,0,12,53,0,12,53,0,,,
nte2020 30116,30116,85,Accounting and Financial Analysis ,Winter,2020,"Saturday, 9:00 - 12:00","Soffer, Leonard",11,54,0,12,53,0,12,53,N/A,12,53,N/A,17,48,0,,,
nte2019 30116,30116,1,Accounting and Financial Analysis I,Winter,2019,"Tuesday, 1:30 -  4:30","Soffer, Leonard",54,11,0,59,6,0,59,6,-1,59,6,-1,57,8,0,65,CLO,0
rin2017 30117,30117,85,Accounting and Financial Analysis II,Spring,2017,"Saturday, 1:30 -  4:30","Fitzgerald, Kathleen",36,29,0,34,31,0,35,30,0,35,30,-1,41,24,0,44,21,0
nte2020 30116,30116,1,Accounting and Financial Analysis ,Winter,2020,"Wednesday, 1:30 -  4:30","Soffer, Leonard",38,27,0,43,22,0,43,22,N/A,43,22,N/A,41,24,0,,,
tum2016 30118,30118,81,Taxes and Business Strategy,Autumn,2016,"Friday, 6:00 -  9:00","Erickson, Merle",65,CLO,1,65,CLO,3333,65,CLO,-1,65,CLO,-1,63,2,0,57,8,0
tum2016 30118,30118,85,Taxes and Business Strategy,Autumn,2016,"Saturday, 9:00 - 12:00","Erickson, Merle",41,24,0,40,25,0,44,21,0,44,21,-1,43,22,0,43,22,0
,30116,1,Accounting and Financial Analysis ,Winter,2021,"Wednesday, 8:30 - 11:30","Soffer, Leonard",28,37,0,41,24,0,41,24,N/A,41,24,N/A,43,22,0,,,
rin2017 30117,30117,1,Accounting and Financial Analysis II,Spring,2017,"Monday, Wednesday, 8:30 -  9:50","Fitzgerald, Kathleen",65,CLO,1,65,CLO,3512,65,CLO,-1,65,CLO,-1,60,5,0,59,6,0
nte2018 30118,30118,81,Taxes and Business Strategy,Winter,2018,"Tuesday, 6:00 -  9:00","Erickson, Merle",32,33,0,29,36,0,29,36,-1,29,36,-1,41,24,0,40,25,0
tum2016 30118,30118,1,Taxes and Business Strategy,Autumn,2016,"Friday, 1:30 -  4:30","Erickson, Merle",31,34,0,32,33,0,42,23,0,43,22,0,41,24,0,42,23,0
